year,county_id,county_name,condition,nhs_type,deck_area_thou,count_bridges
1993,42017,Bucks,All,All,3905.7,696
1993,42017,Bucks,All,NHS,2754,246
1993,42017,Bucks,All,Non-NHS,1151.7,450
1993,42017,Bucks,Fair,All,1884.8,413
1993,42017,Bucks,Fair,NHS,1221.8,168
1993,42017,Bucks,Fair,Non-NHS,663.1,245
1993,42017,Bucks,Good,All,881,148
1993,42017,Bucks,Good,NHS,572.5,40
1993,42017,Bucks,Good,Non-NHS,308.5,108
1993,42017,Bucks,Poor,All,1140,135
1993,42017,Bucks,Poor,NHS,959.8,38
1993,42017,Bucks,Poor,Non-NHS,180.1,97
1993,34005,Burlington,All,All,2338.2,329
1993,34005,Burlington,All,NHS,1646.7,110
1993,34005,Burlington,All,Non-NHS,691.5,219
1993,34005,Burlington,Fair,All,1007.6,145
1993,34005,Burlington,Fair,NHS,735.2,46
1993,34005,Burlington,Fair,Non-NHS,272.4,99
1993,34005,Burlington,Good,All,1090.9,133
1993,34005,Burlington,Good,NHS,757.8,52
1993,34005,Burlington,Good,Non-NHS,333.1,81
1993,34005,Burlington,Poor,All,239.7,51
1993,34005,Burlington,Poor,NHS,153.7,12
1993,34005,Burlington,Poor,Non-NHS,86,39
1993,34007,Camden,All,All,3751.7,248
1993,34007,Camden,All,NHS,3105.9,138
1993,34007,Camden,All,Non-NHS,645.7,110
1993,34007,Camden,Fair,All,2416.4,133
1993,34007,Camden,Fair,NHS,2000.2,72
1993,34007,Camden,Fair,Non-NHS,416.2,61
1993,34007,Camden,Good,All,974.7,72
1993,34007,Camden,Good,NHS,826.7,43
1993,34007,Camden,Good,Non-NHS,147.9,29
1993,34007,Camden,Poor,All,360.6,43
1993,34007,Camden,Poor,NHS,279,23
1993,34007,Camden,Poor,Non-NHS,81.6,20
1993,42029,Chester,All,All,1835.1,632
1993,42029,Chester,All,NHS,860.4,172
1993,42029,Chester,All,Non-NHS,974.7,460
1993,42029,Chester,Fair,All,1263.2,392
1993,42029,Chester,Fair,NHS,665.5,121
1993,42029,Chester,Fair,Non-NHS,597.7,271
1993,42029,Chester,Good,All,283.9,129
1993,42029,Chester,Good,NHS,93,34
1993,42029,Chester,Good,Non-NHS,190.9,95
1993,42029,Chester,Poor,All,288,111
1993,42029,Chester,Poor,NHS,101.9,17
