Bridge_ID,Location,Age (years),Material,Length (m),Width (m),Height (m),Traffic_Volume (vehicles/day),Weather_Conditions,Water_Flow_Rate (m³/s),Maintenance_History,Stress (MPa),Strain (%),Tensile_Strength (MPa),Rainfall (mm),Material_Composition,Bridge_Design,Construction_Quality,Temperature (°C),Humidity (%),Collapse_Status
1,Region_1,26,Steel,50,5,10,100,Rainy,0,01-01-2010,0,0,200,0,"Steel 70%, Concrete 30%",Arch,Good,-30,0,Standing
2,Region_2,47,Concrete,50.1950195,5.00450045,10.0090009,100.990099,Sunny,0.500050005,02-01-2010,0.010001,0.0010001,200.080008,0.050005001,"Concrete 80%, Wood 20%",Beam,Good,-29.9919992,0.010001,Standing
3,Region_3,1,Wood,50.390039,5.0090009,10.0180018,101.980198,Snowy,1.00010001,03-01-2010,0.020002,0.0020002,200.160016,0.100010001,"Concrete 80%, Wood 20%",Truss,Good,-29.9839984,0.020002,Standing
4,Region_4,32,Steel,50.58505851,5.01350135,10.0270027,102.970297,Cloudy,1.500150015,04-01-2010,0.030003,0.0030003,200.240024,0.150015002,"Steel 70%, Concrete 30%",Arch,Good,-29.9759976,0.030003,Standing
5,Region_5,27,Concrete,50.78007801,5.0180018,10.0360036,103.960396,Windy,2.00020002,05-01-2010,0.040004,0.0040004,200.320032,0.200020002,"Concrete 80%, Wood 20%",Beam,Good,-29.9679968,0.040004,Standing
6,Region_1,16,Wood,50.97509751,5.02250225,10.0450045,104.950495,Rainy,2.500250025,06-01-2010,0.050005001,0.0050005,200.40004,0.250025003,"Concrete 80%, Wood 20%",Truss,Good,-29.959996,0.050005001,Standing
7,Region_2,46,Steel,51.17011701,5.0270027,10.0540054,105.9405941,Sunny,3.00030003,07-01-2010,0.060006001,0.0060006,200.480048,0.300030003,"Steel 70%, Concrete 30%",Arch,Good,-29.9519952,0.060006001,Standing
8,Region_3,28,Concrete,51.36513651,5.03150315,10.0630063,106.9306931,Snowy,3.500350035,08-01-2010,0.070007001,0.0070007,200.560056,0.350035004,"Concrete 80%, Wood 20%",Beam,Good,-29.9439944,0.070007001,Standing
9,Region_4,17,Wood,51.56015602,5.0360036,10.0720072,107.9207921,Cloudy,4.00040004,09-01-2010,0.080008001,0.0080008,200.640064,0.400040004,"Concrete 80%, Wood 20%",Truss,Good,-29.9359936,0.080008001,Standing
10,Region_5,9,Steel,51.75517552,5.04050405,10.0810081,108.9108911,Windy,4.500450045,10-01-2010,0.090009001,0.0090009,200.720072,0.450045005,"Steel 70%, Concrete 30%",Arch,Good,-29.9279928,0.090009001,Standing
11,Region_1,8,Concrete,51.95019502,5.0450045,10.090009,109.9009901,Rainy,5.00050005,11-01-2010,0.100010001,0.010001,200.80008,0.500050005,"Concrete 80%, Wood 20%",Beam,Good,-29.919992,0.100010001,Standing
12,Region_2,1,Wood,52.14521452,5.04950495,10.0990099,110.8910891,Sunny,5.500550055,12-01-2010,0.110011001,0.0110011,200.880088,0.550055006,"Concrete 80%, Wood 20%",Truss,Good,-29.9119912,0.110011001,Standing
13,Region_3,39,Steel,52.34023402,5.054005401,10.1080108,111.8811881,Snowy,6.00060006,13-01-2010,0.120012001,0.0120012,200.960096,0.600060006,"Steel 70%, Concrete 30%",Arch,Good,-29.9039904,0.120012001,Standing
14,Region_4,22,Concrete,52.53525353,5.058505851,10.1170117,112.8712871,Cloudy,6.500650065,14-01-2010,0.130013001,0.0130013,201.040104,0.650065007,"Concrete 80%, Wood 20%",Beam,Good,-29.8959896,0.130013001,Standing
15,Region_5,9,Wood,52.73027303,5.063006301,10.1260126,113.8613861,Windy,7.00070007,15-01-2010,0.140014001,0.0140014,201.120112,0.700070007,"Concrete 80%, Wood 20%",Truss,Good,-29.8879888,0.140014001,Standing
16,Region_1,5,Steel,52.92529253,5.067506751,10.1350135,114.8514851,Rainy,7.500750075,16-01-2010,0.150015002,0.0150015,201.20012,0.750075008,"Steel 70%, Concrete 30%",Arch,Good,-29.879988,0.150015002,Standing
17,Region_2,0,Concrete,53.12031203,5.072007201,10.1440144,115.8415842,Sunny,8.00080008,17-01-2010,0.160016002,0.0160016,201.280128,0.800080008,"Concrete 80%, Wood 20%",Beam,Good,-29.8719872,0.160016002,Standing
18,Region_3,27,Wood,53.31533153,5.076507651,10.1530153,116.8316832,Snowy,8.500850085,18-01-2010,0.170017002,0.0170017,201.360136,0.850085009,"Concrete 80%, Wood 20%",Truss,Good,-29.8639864,0.170017002,Standing
19,Region_4,23,Steel,53.51035104,5.081008101,10.1620162,117.8217822,Cloudy,9.00090009,19-01-2010,0.180018002,0.0180018,201.440144,0.900090009,"Steel 70%, Concrete 30%",Arch,Good,-29.8559856,0.180018002,Standing
20,Region_5,44,Concrete,53.70537054,5.085508551,10.1710171,118.8118812,Windy,9.500950095,20-01-2010,0.190019002,0.0190019,201.520152,0.95009501,"Concrete 80%, Wood 20%",Beam,Good,-29.8479848,0.190019002,Standing
21,Region_1,36,Wood,53.90039004,5.090009001,10.180018,119.8019802,Rainy,10.0010001,21-01-2010,0.200020002,0.020002,201.60016,1.00010001,"Concrete 80%, Wood 20%",Truss,Good,-29.839984,0.200020002,Standing
22,Region_2,42,Steel,54.09540954,5.094509451,10.1890189,120.7920792,Sunny,10.50105011,22-01-2010,0.210021002,0.0210021,201.680168,1.050105011,"Steel 70%, Concrete 30%",Arch,Good,-29.8319832,0.210021002,Standing
23,Region_3,30,Concrete,54.29042904,5.099009901,10.1980198,121.7821782,Snowy,11.00110011,23-01-2010,0.220022002,0.0220022,201.760176,1.100110011,"Concrete 80%, Wood 20%",Beam,Good,-29.8239824,0.220022002,Standing
24,Region_4,43,Wood,54.48544854,5.103510351,10.2070207,122.7722772,Cloudy,11.50115012,24-01-2010,0.230023002,0.0230023,201.840184,1.150115012,"Concrete 80%, Wood 20%",Truss,Good,-29.8159816,0.230023002,Standing
