asset_id,asset_type,region,assessed_on,condition_score,install_year,rul_years,replacement_cost,notes,risk_score
R-1000,Road,South,25-12-2022,0.472,1997,1,2424392,Surface cracking,48
B-1001,Bridge,Central,01-06-2023,0.375,2014,12.9,9291712,Corrosion observed,4.81
U-1002,Utility,South,08-01-2023,0.535,1981,1,590480,Valve leaks,42.27
B-1003,Bridge,Central,03-09-2025,0.25,2018,16.6,6630293,Corrosion observed,4.49
B-1004,Bridge,Central,12-03-2025,0.772,1994,1,14547336,Minor repairs needed,20.73
B-1005,Building,East,17-11-2022,0.197,1990,1,5562021,Good condition,73
B-1006,Building,North,18-09-2023,0.629,1993,1.3,2666286,Exterior paint peeling,26.5
R-1007,Road,East,21-12-2024,0.261,1986,1,881485,Edge deterioration,67.18
B-1008,Building,West,31-01-2023,0.328,2009,11.8,6025427,HVAC aging,5.65
R-1009,Road,North,26-06-2024,0.535,2003,1,859704,Surface cracking,42.27
R-1010,Road,South,13-02-2024,0.718,1998,1,2297971,Potholes forming,25.64
R-1011,Road,East,21-12-2024,0.176,1997,1,2075985,Good condition,74.91
B-1012,Bridge,East,01-12-2024,0.492,2002,1.9,5841264,Joint wear,25.4
R-1013,Road,South,20-10-2023,0.407,2014,8.2,882888,Surface cracking,7.14
U-1014,Utility,East,20-12-2024,0.215,1997,1,1633967,Insulation wear,71.36
R-1015,Road,West,16-02-2024,0.502,1982,1,1438599,Edge deterioration,45.27
B-1016,Building,South,19-03-2023,0.215,1993,1,4175596,Exterior paint peeling,71.36
U-1017,Utility,East,22-01-2025,0.455,2009,1.4,1425359,Insulation wear,36.33
B-1018,Bridge,Central,23-03-2024,0.273,2015,13.2,16924781,Scour risk noted,5.47
U-1019,Utility,South,29-01-2025,0.353,2003,1,1633201,Insulation wear,58.82
U-1020,Utility,South,09-05-2023,0.375,1983,1,1354053,Valve leaks,56.82
B-1021,Bridge,West,17-03-2025,0.537,2018,18.2,9616122,Corrosion observed,2.53
U-1022,Utility,Central,19-06-2025,0.202,2013,3.1,550200,Pump degradation,24.94
R-1023,Road,East,26-06-2023,0.429,2014,8.4,2212122,Edge deterioration,6.72
